true,known_map,known_sd,unknown_map,unknown_sd
9.500000000000000000e+00,8.874712944030761719e+00,1.303677707910537720e-01,5.067776203155517578e+00,1.624900579452514648e+00
3.600000000000000089e+00,3.663300037384033203e+00,5.498524755239486694e-02,6.175610065460205078e+00,1.843593120574951172e+00
9.000000000000000000e+00,nan,nan,4.947144985198974609e+00,1.593304991722106934e+00
